metric,value,real,fake,net
fid,10.042107443797263,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,no_cross_scale_and_no_cross_channel_mixing,vicreg_rn50_inet
fid,1.0688344303331403,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,"discriminator_1,2,3-CROPPED64",
fid,29.33625712322869,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_4000steps_train_250_steps_inference_58Ktraining,vicreg_rn50_inet
fid,154.79402844067386,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,no_cross_scale_mixing,dino_vitb16
fid,196.93224662207868,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_500steps_train_250_steps_inference_58Ktraining,inception_v3
fid,128.03105165369402,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,unfreeze_feature_network-CROPPED128,inception_v3
fid,44.91067411272354,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_125steps_train_125_steps_inference_100Ktraining,inception_v3
fid,0.3149550793575787,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,"discriminator_1,2",mae_solar_vitb16
fid,171.56380435566655,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,unfreeze_feature_network,
fid,191.381983027725,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,randomly_initialized_feature_network_unfrozen-CROPPED64,
fid,0.1141756178485353,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_1000steps_train_250_steps_inference_54Ktraining_no_random_flip,clip_rn50
fid,0.0192516999241235,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,"discriminator_1,2,3",random_inception_v3
fid,7.4310997429853956,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,"discriminator_1,2",
fid,10.213037475724676,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,no_cross_scale_mixing,vicreg_rn50_inet
fid,506.6092629087214,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED256,unfreeze_feature_network+trainable_projections-CROPPED256,inception_v3
fid,9.581153623527538,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_1000steps_train_50_steps_inference_58Ktraining,vicreg_rn50_solar_v2
fid,1.5860167812017778,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,efficientnet-lite1-CROPPED128,
fid,25.369834724429865,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_1000steps_train_250_steps_inference_78Ktraining_no_random_flip_dropout0.3,inception_v3
fid,128.03105165369402,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,unfreeze_feature_network-CROPPED128,
fid,71.80977111843254,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,augmentations_off,dino_vitb16
fid,0.0322932397636653,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,no_cross_scale_and_no_cross_channel_mixing,random_inception_v3
fid,252.43347274434169,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,randomly_initialized_feature_network_unfrozen,inception_v3
fid,162.7757176698769,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED256,unfreeze_feature_network-CROPPED256,inception_v3
fid,21.799823312056105,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,randomly_initialized_feature_network-CROPPED64,inception_v3
fid,0.004522484353707,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,"discriminator_1,2,3",inception_v3_other_block_0
fid,4.338813439212774e-05,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,efficientnet-lite3-CROPPED128,mae_solar_vitb16
fid,1421.196760920916,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,unfreeze_feature_network+trainable_projections,mae_solar_vitb16_v2
fid,0.0051443912549278,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,full_projectedgan_baseline,inception_v3_other_block_0
fid,6.807911980569813,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,full_projectedgan_baseline,vicreg_rn50_inet
precision,0.4798590540885925,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,trainable_projections,inception_v3
recall,0.5658031105995178,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,trainable_projections,inception_v3
fid,4.802240135527484,"image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED299CS_0.1,1_CR_1,1","efficientnet-lite1-CROPPED299CS_0.1,1_CR_1,1",
fid,2.859081615605959,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,discriminator_1-CROPPED128,inception_v3
fid,44.66451888824783,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,randomly_initialized_feature_network_unfrozen-CROPPED64,mae_vitb16
fid,5.481174013859,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,"discriminator_1,2,3",vicreg_rn50_solar_v2
fid,0.0223972539255913,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,discriminator_1,random_inception_v3
fid,47.2097103902079,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,diffusion_1000steps_train_50_steps_inference_58Ktraining-CROPPED64,vicreg_rn50_solar_v2
